timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1639410060474,4,Request,200,OK,TG 1-5,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060568,4,Request,200,OK,TG 1-7,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060570,4,Request,200,OK,TG 1-6,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060634,4,Request,200,OK,TG 1-4,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060635,9,Request,200,OK,TG 1-1,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,4,0,0
1639410060635,10,Request,200,OK,TG 1-3,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,4,0,0
1639410060635,12,Request,200,OK,TG 1-2,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,6,0,0
1639410060755,4,Request,200,OK,TG 1-5,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060848,4,Request,200,OK,TG 1-7,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060849,4,Request,200,OK,TG 1-6,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060914,8,Request,200,OK,TG 1-4,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060915,9,Request,200,OK,TG 1-3,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060915,9,Request,200,OK,TG 1-1,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,2,0,0
1639410060915,9,Request,200,OK,TG 1-2,text,true,,102713,124,7,7,http://192.168.56.103/100k.txt,1,0,0
1639410060931,4,Request,200,OK,TG 1-8,text,true,,102714,124,8,8,http://192.168.56.103/100k.txt,2,0,1
1639410061035,3,Request,200,OK,TG 1-5,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061128,4,Request,200,OK,TG 1-7,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061130,4,Request,200,OK,TG 1-6,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061194,7,Request,200,OK,TG 1-4,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061195,6,Request,200,OK,TG 1-3,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061195,9,Request,200,OK,TG 1-2,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410061196,8,Request,200,OK,TG 1-1,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410061249,3,Request,200,OK,TG 1-8,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061355,3,Request,200,OK,TG 1-5,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061448,4,Request,200,OK,TG 1-7,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061450,3,Request,200,OK,TG 1-6,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061515,5,Request,200,OK,TG 1-1,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410061514,7,Request,200,OK,TG 1-4,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061515,7,Request,200,OK,TG 1-3,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,3,0,0
1639410061515,11,Request,200,OK,TG 1-2,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,8,0,0
1639410061570,3,Request,200,OK,TG 1-8,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061674,4,Request,200,OK,TG 1-5,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061768,4,Request,200,OK,TG 1-7,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061770,4,Request,200,OK,TG 1-6,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410061834,4,Request,200,OK,TG 1-4,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061835,6,Request,200,OK,TG 1-1,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410061835,7,Request,200,OK,TG 1-3,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,3,0,0
1639410061835,9,Request,200,OK,TG 1-2,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,7,0,0
1639410061890,3,Request,200,OK,TG 1-8,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,1,0,0
1639410061994,4,Request,200,OK,TG 1-5,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410062087,4,Request,200,OK,TG 1-7,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,2,0,0
1639410062089,5,Request,200,OK,TG 1-6,text,true,,102713,124,8,8,http://192.168.56.103/100k.txt,3,0,0
1639410062127,5,Request,200,OK,TG 1-9,text,true,,102714,124,9,9,http://192.168.56.103/100k.txt,3,0,1
1639410062154,9,Request,200,OK,TG 1-4,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062155,8,Request,200,OK,TG 1-1,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062155,12,Request,200,OK,TG 1-2,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,3,0,0
1639410062155,12,Request,200,OK,TG 1-3,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,9,0,0
1639410062209,3,Request,200,OK,TG 1-8,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062315,3,Request,200,OK,TG 1-5,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062408,3,Request,200,OK,TG 1-7,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062410,3,Request,200,OK,TG 1-6,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062487,4,Request,200,OK,TG 1-9,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,1,0,0
1639410062514,6,Request,200,OK,TG 1-2,text,true,,102713,124,9,9,http://192.168.56.103/100k.txt,2,0,0
